index,DiagonalNonZeros,AbsoluteTrace,OneNorm,Trace,Dimension,SymmeticInfinityNorm,DiagonalMean,solver,label,time
59,20002.0,310698.0,48.0,323059.0,20002.0,48.0,16.1513,26415434.0,0.0,0.00029898
60,20002.0,310698.0,48.0,323059.0,20002.0,48.0,16.1513,26415432.0,0.0,0.00030208
61,20002.0,310698.0,48.0,323059.0,20002.0,48.0,16.1513,45869640.0,0.0,0.00026703
62,20002.0,310698.0,48.0,323059.0,20002.0,48.0,16.1513,75830645.0,0.0,0.0003159
63,20002.0,310698.0,48.0,323059.0,20002.0,48.0,16.1513,75830647.0,0.0,0.00031495
64,20002.0,310698.0,48.0,323059.0,20002.0,48.0,16.1513,75830645.0,0.0,0.00032401
65,20002.0,310698.0,48.0,323059.0,20002.0,48.0,16.1513,75830647.0,0.0,0.00031304
66,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,26415434.0,0.0,0.00029898
67,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,26415432.0,0.0,0.00029397
68,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,45869640.0,0.0,0.00026679
69,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,75830645.0,0.0,0.00033307
70,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,75830647.0,0.0,0.00032187
71,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,26415434.0,0.0,0.00029492
72,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,26415432.0,0.0,0.00029898
73,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,45869640.0,0.0,0.00026798
74,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,75830645.0,0.0,0.00032115
75,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,26415432.0,0.0,0.00030589
76,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,26415434.0,0.0,0.00029683
77,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,26415432.0,0.0,0.00029421
78,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,45869640.0,0.0,0.00026512
79,20002.0,312031.0,51.0,324545.0,20002.0,51.0,16.2256,75830645.0,0.0,0.00032306
80,32643.2,73447.2,5.0,91814.2,40804.0,5.0,2.25013,75830645.0,0.0,0.002275
81,32643.2,73447.2,5.0,91814.2,40804.0,5.0,2.25013,75830647.0,0.0,0.0019941
82,32643.2,73447.2,5.0,91814.2,40804.0,5.0,2.25013,75830645.0,0.0,0.0019522000000000003
83,32643.2,73447.2,5.0,91814.2,40804.0,5.0,2.25013,75830647.0,0.0,0.001991
84,32643.2,73447.2,5.0,91814.2,40804.0,5.0,2.25013,75830645.0,0.0,0.0022769
85,32643.2,73447.2,5.0,91814.2,40804.0,5.0,2.25013,75830647.0,0.0,0.0020301
86,32643.2,73447.2,5.0,91814.2,40804.0,5.0,2.25013,75830647.0,0.0,0.0026791000000000002
87,26974.9,38332.8,3.0,45516.7,42592.0,3.0,1.06867,75830645.0,0.0,0.0062058
88,26974.9,38332.8,3.0,45516.7,42592.0,3.0,1.06867,75830647.0,0.0,0.0063108999999999995
89,26974.9,38332.8,3.0,45511.8,42592.0,3.0,1.06855,75830645.0,0.0,0.006231100000000001
90,26974.9,38332.8,3.0,45511.8,42592.0,3.0,1.06855,75830647.0,0.0,0.006399899999999999
91,26974.9,44011.7,3.0,51212.9,42592.0,3.0,1.20241,75830645.0,0.0,0.0065
92,26974.9,44011.7,3.0,51212.9,42592.0,3.0,1.20241,75830647.0,0.0,0.006689100000000001
93,26974.9,38332.8,3.0,45511.8,42592.0,3.0,1.06855,75830645.0,0.0,0.0062811
94,26974.9,38332.8,3.0,45511.8,42592.0,3.0,1.06855,75830647.0,0.0,0.006321899999999999
95,26974.9,35493.3,3.0,44097.0,42592.0,3.0,1.0353299999999999,75830645.0,0.0,0.0060868
96,26974.9,35493.3,3.0,44097.0,42592.0,3.0,1.0353299999999999,75830647.0,0.0,0.006382
97,18456.5,35493.3,3.0,48029.0,42592.0,3.0,1.12765,75830645.0,0.0,0.0061371
98,18456.5,35493.3,3.0,48029.0,42592.0,3.0,1.12765,75830647.0,0.0,0.0064499
99,22715.7,39752.5,3.0,49912.4,42592.0,3.0,1.17187,75830645.0,0.0,0.0064869
100,22715.7,39752.5,3.0,49912.4,42592.0,3.0,1.17187,75830647.0,0.0,0.0064828
101,26974.9,44011.7,3.0,51212.9,42592.0,3.0,1.20241,75830645.0,0.0,0.0063181
102,26974.9,44011.7,3.0,51212.9,42592.0,3.0,1.20241,75830647.0,0.0,0.0065569999999999995
103,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830645.0,0.0,0.00032687
104,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830647.0,0.0,0.00030780000000000005
105,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1432,45869640.0,0.0,0.00029016
106,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1432,75830645.0,0.0,0.00033498
107,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1432,75830647.0,0.0,0.00029516
108,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.13600000000001,75830645.0,0.0,0.00030088
109,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.13600000000001,75830647.0,0.0,0.00032616
110,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1426,75830645.0,0.0,0.00030208
111,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1426,75830647.0,0.0,0.00029802
112,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1425,75830645.0,0.0,0.00031495
113,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1425,75830647.0,0.0,0.00032806
114,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830645.0,0.0,0.00024486
115,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1431,75830645.0,0.0,0.0003109
116,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1431,75830647.0,0.0,0.00029802
117,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1429,45869640.0,0.0,0.00029206
118,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1429,75830645.0,0.0,0.00033808
119,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1429,75830647.0,0.0,0.00030208
120,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1424,75830645.0,0.0,0.00029993
121,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1424,75830647.0,0.0,0.00030899
122,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1428,75830645.0,0.0,0.00035501
123,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1428,75830647.0,0.0,0.00030112
124,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.14299999999999,75830647.0,0.0,0.000319
125,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830645.0,0.0,0.00032592
126,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830647.0,0.0,0.00029922
127,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830647.0,0.0,0.00031185
128,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.13600000000001,45869640.0,0.0,0.00030208
129,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.13600000000001,75830645.0,0.0,0.00032401
130,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.13600000000001,75830647.0,0.0,0.000319
131,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1427,75830645.0,0.0,0.00032091
132,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1427,75830647.0,0.0,0.00033021
133,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830645.0,0.0,0.00029707
134,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830647.0,0.0,0.00033402
135,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830645.0,0.0,0.000314
136,20001.0,1710000.0,100.0,1720000.0,20001.0,100.0,86.1361,75830647.0,0.0,0.00031114
137,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,26415434.0,0.0,0.00029612
138,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,26415432.0,0.0,0.00029397
139,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,45869640.0,0.0,0.00026703
140,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,75830645.0,0.0,0.0003221
141,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,75830647.0,0.0,0.0003221
142,20002.0,334700.0,48.0,346109.0,20002.0,48.0,17.3037,26415434.0,0.0,0.00030398
143,20002.0,334700.0,48.0,346109.0,20002.0,48.0,17.3037,26415432.0,0.0,0.00029492
144,20002.0,334700.0,48.0,346109.0,20002.0,48.0,17.3037,45869640.0,0.0,0.00027013
145,20002.0,334700.0,48.0,346109.0,20002.0,48.0,17.3037,75830645.0,0.0,0.00032306
146,20002.0,334700.0,48.0,346109.0,20002.0,48.0,17.3037,75830647.0,0.0,0.000314
147,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,26415434.0,0.0,0.00029302
148,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,26415432.0,0.0,0.00030684
149,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,45869640.0,0.0,0.00026798
150,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,75830645.0,0.0,0.00032306
151,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,26415432.0,0.0,0.00030208
152,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,45869640.0,0.0,0.00026822
153,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,75830647.0,0.0,0.0003171
154,20002.0,335367.0,48.0,346623.0,20002.0,48.0,17.3294,26415434.0,0.0,0.00029278
155,20002.0,335367.0,48.0,346623.0,20002.0,48.0,17.3294,26415432.0,0.0,0.00032592
156,20002.0,335367.0,48.0,346623.0,20002.0,48.0,17.3294,45869640.0,0.0,0.00026703
157,20002.0,335367.0,48.0,346623.0,20002.0,48.0,17.3294,75830645.0,0.0,0.00032115
158,20002.0,335367.0,48.0,346623.0,20002.0,48.0,17.3294,75830647.0,0.0,0.00033283
159,20002.0,334033.0,49.0,344913.0,20002.0,49.0,17.2439,26415434.0,0.0,0.00029898
160,20002.0,334033.0,49.0,344913.0,20002.0,49.0,17.2439,26415432.0,0.0,0.00029397
161,20002.0,334033.0,49.0,344913.0,20002.0,49.0,17.2439,45869640.0,0.0,0.00026608
162,20002.0,334033.0,49.0,344913.0,20002.0,49.0,17.2439,75830647.0,0.0,0.00032401
163,20002.0,333367.0,48.0,344952.0,20002.0,48.0,17.2459,26415434.0,0.0,0.00029898
164,20002.0,333367.0,48.0,344952.0,20002.0,48.0,17.2459,26415432.0,0.0,0.00029683
165,20002.0,333367.0,48.0,344952.0,20002.0,48.0,17.2459,45869640.0,0.0,0.00026703
166,20002.0,333367.0,48.0,344952.0,20002.0,48.0,17.2459,75830645.0,0.0,0.00032401
167,20002.0,333367.0,48.0,344952.0,20002.0,48.0,17.2459,75830647.0,0.0,0.00031519
168,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,26415434.0,0.0,0.00029516
169,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,45869640.0,0.0,0.00026798
170,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,75830645.0,0.0,0.00033998
171,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,75830647.0,0.0,0.00031304
172,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,26415434.0,0.0,0.00029302
173,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,26415432.0,0.0,0.00029802
174,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,45869640.0,0.0,0.00026798
175,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,75830645.0,0.0,0.00032401
176,20002.0,334700.0,49.0,345830.0,20002.0,49.0,17.2898,75830647.0,0.0,0.00031519
177,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,26415434.0,0.0,0.00030398
