Average.clustering.coefficient,Diameter..longest.shortest.path.,Edges.in.largest.SCC,Edges.in.largest.WCC,Fraction.of.closed.triangles,Nodes.in.largest.SCC,Nodes.in.largest.WCC,Number.of.triangles,X90.percentile.effective.diameter,algorithm,classif,dataset,nedges,nthreads,nvertices,package,runtime
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,6.0,15038083.0,40.0,382219.0,3.0,0.000298411
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,7.0,15038083.0,48.0,382219.0,0.0,0.00528375
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,7.0,15038083.0,48.0,382219.0,3.0,0.000354469
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,8.0,15038083.0,56.0,382219.0,0.0,0.00575375
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,good,8.0,15038083.0,56.0,382219.0,3.0,0.00043301300000000005
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,177.0,1921660.0,1.0,1379917.0,3.0,1.27e-06
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,179.0,1921660.0,2.0,1379917.0,3.0,1.15e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,182.0,1921660.0,4.0,1379917.0,3.0,1.9399999999999997e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,186.0,1921660.0,8.0,1379917.0,3.0,2.75e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,178.0,1921660.0,16.0,1379917.0,3.0,5.12e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,180.0,1921660.0,24.0,1379917.0,3.0,6.08e-05
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,181.0,1921660.0,32.0,1379917.0,3.0,0.000439272
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,183.0,1921660.0,40.0,1379917.0,3.0,0.000569969
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,184.0,1921660.0,48.0,1379917.0,3.0,0.000718981
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,good,185.0,1921660.0,56.0,1379917.0,3.0,0.000845895
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,41.0,16777216.0,1.0,1048576.0,2.0,0.001001966
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,43.0,16777216.0,1.0,1048576.0,2.0,0.00099932
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,45.0,16777216.0,1.0,1048576.0,2.0,0.001000599
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,47.0,16777216.0,1.0,1048576.0,2.0,0.001001423
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,49.0,16777216.0,1.0,1048576.0,2.0,0.000999952
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,51.0,16777216.0,1.0,1048576.0,2.0,0.001001378
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,53.0,16777216.0,1.0,1048576.0,2.0,0.001001935
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,55.0,16777216.0,1.0,1048576.0,2.0,0.00036637
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,57.0,16777216.0,1.0,1048576.0,2.0,0.001000947
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,59.0,16777216.0,1.0,1048576.0,2.0,0.000362853
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,61.0,16777216.0,1.0,1048576.0,2.0,0.00100007
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,63.0,16777216.0,1.0,1048576.0,2.0,0.001000127
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,65.0,16777216.0,1.0,1048576.0,2.0,0.001000137
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,69.0,16777216.0,1.0,1048576.0,2.0,0.000958317
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,71.0,16777216.0,1.0,1048576.0,2.0,0.0009621110000000001
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,73.0,16777216.0,1.0,1048576.0,2.0,0.000956797
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,75.0,16777216.0,1.0,1048576.0,2.0,0.001001201
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,77.0,16777216.0,1.0,1048576.0,2.0,0.000999908
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,79.0,16777216.0,1.0,1048576.0,2.0,0.0009232639999999999
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,81.0,16777216.0,1.0,1048576.0,2.0,0.001000031
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,83.0,16777216.0,1.0,1048576.0,2.0,0.000999031
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,85.0,16777216.0,1.0,1048576.0,2.0,0.000892155
