Average.clustering.coefficient,Diameter..longest.shortest.path.,Edges.in.largest.SCC,Edges.in.largest.WCC,Fraction.of.closed.triangles,Nodes.in.largest.SCC,Nodes.in.largest.WCC,Number.of.triangles,X90.percentile.effective.diameter,algorithm,classif,dataset,nedges,nthreads,nvertices,package,runtime
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,11.0,16518948.0,16.0,3774768.0,0.0,0.03177375
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,11.0,16518948.0,16.0,3774768.0,4.0,0.187505938
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,13.0,16518948.0,24.0,3774768.0,0.0,0.02696
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,13.0,16518948.0,24.0,3774768.0,4.0,0.15071475
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,14.0,16518948.0,32.0,3774768.0,0.0,0.02877625
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,14.0,16518948.0,32.0,3774768.0,4.0,0.268262188
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,16.0,16518948.0,40.0,3774768.0,0.0,0.028775
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,16.0,16518948.0,40.0,3774768.0,4.0,0.304813125
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,17.0,16518948.0,48.0,3774768.0,0.0,0.029416875
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,17.0,16518948.0,48.0,3774768.0,4.0,0.45161
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,18.0,16518948.0,56.0,3774768.0,0.0,0.030075
0.0757,22.0,0.0,1.0,0.02343,0.0,0.997,7515023.0,9.4,0.0,bad,18.0,16518948.0,56.0,3774768.0,4.0,0.45156825
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,187.0,7600595.0,1.0,685230.0,0.0,0.03368
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,187.0,7600595.0,1.0,685230.0,4.0,0.18047950000000001
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,189.0,7600595.0,2.0,685230.0,0.0,0.020029375
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,189.0,7600595.0,2.0,685230.0,4.0,0.122304875
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,192.0,7600595.0,4.0,685230.0,0.0,0.0118075
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,192.0,7600595.0,4.0,685230.0,4.0,0.076406438
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,196.0,7600595.0,8.0,685230.0,0.0,0.008010625
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,196.0,7600595.0,8.0,685230.0,4.0,0.058754562999999996
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,188.0,7600595.0,16.0,685230.0,4.0,0.0480485
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,190.0,7600595.0,24.0,685230.0,0.0,0.00800125
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,190.0,7600595.0,24.0,685230.0,4.0,0.04407025
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,191.0,7600595.0,32.0,685230.0,0.0,0.020565
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,191.0,7600595.0,32.0,685230.0,4.0,0.053441063
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,193.0,7600595.0,40.0,685230.0,0.0,0.02428625
